condition,frame,host_read_start_s,camera_timestamp_s,host_receive_timestamp_s,state_host_timestamp_s,frame_valid,error_message,raw_points,cropped_points,downsampled_points,scene_points_after_self_filter,robot_surface_points,q_actual_1,q_actual_2,q_actual_3,q_actual_4,q_actual_5,q_actual_6,preprocess_ms,state_fk_ms,self_filter_ms,end_to_end_ms,risk_state,hold
start,95,1785915494.655818,1785915494.604249,1785915494.673721,1785915494.734905,1,,864286,36872,3435,2572,50000,-0.09148429,-0.04078114,1.52893317,-0.00107840,1.57079637,-0.09148429,29.1225,0.8489,10.5436,90.1162,SAFE,0
start,96,1785915494.745996,1785915494.704246,1785915494.763910,1785915494.820426,1,,863177,36664,3441,2583,50000,-0.09148429,-0.04078114,1.52893317,-0.00107840,1.57079637,-0.09148429,26.1416,1.0833,10.4503,85.3358,SAFE,0
start,97,1785915494.831401,1785915494.770910,1785915494.848303,1785915494.907459,1,,864442,36851,3435,2565,50000,-0.09148429,-0.04078114,1.52893317,-0.00107840,1.57079637,-0.09148429,27.0781,1.2537,10.9195,87.4898,SAFE,0
start,98,1785915494.918974,1785915494.870904,1785915494.937751,1785915494.995375,1,,861578,36987,3473,2601,50000,-0.09148429,-0.04078114,1.52893317,-0.00107840,1.57079637,-0.09148429,26.9996,0.8333,10.9924,87.8612,SAFE,0
start,99,1785915495.006902,1785915494.970980,1785915495.024999,1785915495.082960,1,,865444,37036,3432,2541,50000,-0.09148429,-0.04078114,1.52893317,-0.00107840,1.57079637,-0.09148429,26.1431,1.1006,11.0294,87.5499,SAFE,0
start,100,1785915495.094513,1785915495.037807,1785915495.112608,1785915495.171432,1,,865733,37007,3471,2598,50000,-0.09148429,-0.04078114,1.52893317,-0.00107840,1.57079637,-0.09148429,28.2475,1.0801,10.9046,88.2917,SAFE,0
start,101,1785915495.182865,1785915495.138051,1785915495.200709,1785915495.258607,1,,864072,37049,3406,2569,50000,-0.09148429,-0.04078114,1.52893317,-0.00107840,1.57079637,-0.09148429,26.6949,1.0647,10.8970,87.0956,SAFE,0
start,102,1785915495.270025,1785915495.204882,1785915495.288171,1785915495.347557,1,,865872,36984,3549,2675,50000,-0.09148429,-0.04078114,1.52893317,-0.00107840,1.57079637,-0.09148429,26.6690,1.1882,11.2529,89.2586,SAFE,0
start,103,1785915495.359344,1785915495.305130,1785915495.377333,1785915495.436165,1,,864941,37068,3463,2598,50000,-0.09148429,-0.04078114,1.52893317,-0.00107840,1.57079637,-0.09148429,27.7185,1.1696,10.4372,87.7359,SAFE,0
start,104,1785915495.447140,1785915495.405382,1785915495.465082,1785915495.524189,1,,865195,37087,3430,2581,50000,-0.09148429,-0.04078114,1.52893317,-0.00107840,1.57079637,-0.09148429,27.8397,1.1126,11.2323,88.7414,SAFE,0
